MRP,Brand,Processor,RAM,RAM Type,Operating System,Storage Type,Warranty,Storage
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
32990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
49990,HP,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
49990,ASUS,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
36990,HP,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
38990,DELL,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
46990,realme,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
44990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
59990,HP,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
32990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
52990,ASUS,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
29990,acer,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
47990,ASUS,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
45990,ASUS,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
47990,MSI,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
88990,APPLE,OTHER,8 ,DDR4,MAC,SSD,1 YEAR,256 
40990,HP,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
19490,Lenovo,OTHER,4 ,DDR4,OTHER,SSD,1 YEAR,256 
35590,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
65990,HP,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
58990,acer,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
46990,realme,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
24990,acer,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
47990,acer,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
73990,ASUS,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
53490,Lenovo,I5,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
35590,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
150990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
51990,Lenovo,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
